City Name,Zone Name,Ward Name,Ward No.,No. of unemployed persons (seeking or available for work),No. of employed persons,Total labour force in the city (age 15-59) [Employed + Unemployed Persons)
Bengaluru,East,Kadugondanahalli,97,20156,15565,35721
Bengaluru,East,Kushal Nagar,98,20077,12836,32913
Bengaluru,East,Kaval Bairasandra,99,19356,13728,33084
Bengaluru,East,Manorayana Palya,100,17523,12810,30333
Bengaluru,East,Gangenahalli,101,17216,12835,30051
Bengaluru,West,Aramane Nagara,102,26559,24334,50893
Bengaluru,West,Mattikere,103,28510,25022,53532
Bengaluru,Rajarajeswari Nagar,Yeshwanthpura,104,15756,11117,26873
Bengaluru,Rajarajeswari Nagar,HMT Ward,105,16096,12259,28355
Bengaluru,Dasarahalli,Chokkasandra,106,13662,10519,24181
Bengaluru,Rajarajeswari Nagar,Dodda Bidarakallu,107,20466,15995,36461
Bengaluru,Dasarahalli,Peenya Industrial Area,108,19864,14002,33866
Bengaluru,Rajarajeswari Nagar,Lakshmi Devi Nagar,109,21134,12158,33292
Bengaluru,West,Nandini Layout,110,16487,11017,27504
Bengaluru,West,Marappana Palya,111,13295,9700,22995
Bengaluru,West,Malleshwaram,112,17633,13005,30638
Bengaluru,East,Jayachamarajendra Nagar,113,19541,18567,38108
Bengaluru,East,Devara Jeevanahalli,114,19003,17913,36916
Bengaluru,East,Muneshwara Nagar,115,22044,15016,37060
Bengaluru,East,Lingarajapura,116,28289,20245,48534
Bengaluru,East,Benniganahalli,117,23951,18144,42095
Bengaluru,Mahadevapura,Vijnanapura,118,16275,12509,28784
Bengaluru,Mahadevapura,KR Puram,119,17226,9850,27076
Bengaluru,Mahadevapura,Basavanapura,120,22434,14910,37344
Bengaluru,Mahadevapura,Hudi,121,21397,15957,37354
Bengaluru,Mahadevapura,Devasandra,122,21578,18454,40032
Bengaluru,Mahadevapura,A Narayanapura,123,23169,17162,40331
Bengaluru,East,C.V. Raman Nagar,124,21250,16097,37347
Bengaluru,East,New Tippa Sandra,125,11941,9230,21171
Bengaluru,East,Maruthi Seva Nagar,126,16381,12938,29319
Bengaluru,East,Sagayara Puram,127,24523,19206,43729
Bengaluru,East,SK Garden,128,20783,14997,35780
Bengaluru,East,Ramaswamy Palya,129,39668,28464,68132
Bengaluru,East,Jaya Mahal,130,34149,24050,58199
Bengaluru,West,Raj Mahal Guttahalli,131,21641,21144,42785
