Attendance Date,In Time,Last Out Time,Was at Work
11-Jul-18,12:12 PM,09:44 PM,TRUE
10-Jul-18,12:03 PM,09:49 PM,TRUE
09-Jul-18,12:08 PM,09:17 PM,TRUE
08-Jul-18,,,FALSE
07-Jul-18,,,FALSE
06-Jul-18,11:54 AM,09:03 PM,TRUE
05-Jul-18,12:08 PM,09:27 PM,TRUE
04-Jul-18,11:56 AM,09:42 PM,TRUE
03-Jul-18,11:51 AM,09:30 PM,TRUE
02-Jul-18,11:53 AM,09:21 PM,TRUE
01-Jul-18,,,FALSE
30-Jun-18,,,FALSE
29-Jun-18,12:09 PM,09:01 PM,TRUE
28-Jun-18,12:09 PM,09:56 PM,TRUE
27-Jun-18,12:14 PM,09:54 PM,TRUE
26-Jun-18,12:11 PM,10:17 PM,TRUE
25-Jun-18,12:11 PM,10:04 PM,TRUE
24-Jun-18,,,FALSE
23-Jun-18,,,FALSE
22-Jun-18,12:11 PM,10:55 PM,TRUE
21-Jun-18,12:08 PM,09:57 PM,TRUE
20-Jun-18,12:10 PM,09:55 PM,TRUE
19-Jun-18,12:13 PM,10:18 PM,TRUE
18-Jun-18,12:11 PM,10:03 PM,TRUE
17-Jun-18,,,FALSE
16-Jun-18,,,FALSE
15-Jun-18,,,FALSE
14-Jun-18,,,FALSE
13-Jun-18,12:07 PM,08:45 PM,TRUE
12-Jun-18,11:57 AM,09:22 PM,TRUE
11-Jun-18,11:58 AM,09:51 PM,TRUE
10-Jun-18,,,FALSE
08-Jun-18,01:06 PM,10:23 PM,TRUE
07-Jun-18,01:30 PM,10:21 PM,TRUE
06-Jun-18,01:43 PM,10:27 PM,TRUE
05-Jun-18,01:31 PM,10:21 PM,TRUE
04-Jun-18,01:36 PM,10:22 PM,TRUE
03-Jun-18,,,FALSE
02-Jun-18,,,FALSE
01-Jun-18,01:40 PM,10:24 PM,TRUE
31-May-18,01:03 PM,10:22 PM,TRUE
30-May-18,01:31 PM,10:29 PM,TRUE
29-May-18,12:41 PM,10:18 PM,TRUE
28-May-18,,,FALSE
27-May-18,,,FALSE
26-May-18,,,FALSE
25-May-18,01:34 PM,10:19 PM,TRUE
24-May-18,01:15 PM,10:48 PM,TRUE
23-May-18,01:21 PM,10:30 PM,TRUE
22-May-18,01:20 PM,10:38 PM,TRUE
21-May-18,01:15 PM,10:29 PM,TRUE
20-May-18,,,FALSE
19-May-18,,,FALSE
18-May-18,01:38 PM,10:17 PM,TRUE
17-May-18,01:22 PM,10:21 PM,TRUE
16-May-18,01:41 PM,10:57 PM,TRUE
15-May-18,01:00 PM,10:20 PM,TRUE
14-May-18,,,FALSE
13-May-18,,,FALSE
12-May-18,,,FALSE
11-May-18,01:02 PM,06:47 PM,TRUE
10-May-18,01:04 PM,10:19 PM,TRUE
09-May-18,01:10 PM,10:53 PM,TRUE
08-May-18,01:08 PM,11:28 PM,TRUE
07-May-18,01:12 PM,10:50 PM,TRUE
06-May-18,,,FALSE
05-May-18,,,FALSE
04-May-18,01:06 PM,10:16 PM,TRUE
03-May-18,01:43 PM,10:43 PM,TRUE
02-May-18,12:52 PM,01:55 AM,TRUE
01-May-18,,,FALSE
30-Apr-18,12:40 PM,11:17 PM,TRUE
29-Apr-18,,,FALSE
28-Apr-18,,,FALSE
27-Apr-18,12:55 PM,10:33 PM,TRUE
26-Apr-18,01:04 PM,10:18 PM,TRUE
25-Apr-18,12:58 PM,11:19 PM,TRUE
24-Apr-18,12:51 PM,10:50 PM,TRUE
23-Apr-18,01:03 PM,10:09 PM,TRUE
22-Apr-18,,,FALSE
21-Apr-18,,,FALSE
20-Apr-18,12:56 PM,10:18 PM,TRUE
19-Apr-18,01:10 PM,10:33 PM,TRUE
18-Apr-18,01:18 PM,10:20 PM,TRUE
17-Apr-18,01:03 PM,10:30 PM,TRUE
16-Apr-18,12:46 PM,10:39 PM,TRUE
15-Apr-18,,,FALSE
14-Apr-18,,,FALSE
13-Apr-18,12:52 PM,10:11 PM,TRUE
12-Apr-18,01:02 PM,10:33 PM,TRUE
11-Apr-18,12:40 PM,10:02 PM,TRUE
10-Apr-18,12:57 PM,10:30 PM,TRUE
09-Apr-18,12:54 PM,10:41 PM,TRUE
08-Apr-18,,,FALSE
07-Apr-18,,,FALSE
06-Apr-18,12:41 PM,10:08 PM,TRUE
05-Apr-18,01:00 PM,10:15 PM,TRUE
04-Apr-18,12:53 PM,10:09 PM,TRUE
03-Apr-18,12:51 PM,10:12 PM,TRUE
02-Apr-18,01:07 PM,11:54 PM,TRUE
01-Apr-18,,,FALSE
31-Mar-18,,,FALSE
30-Mar-18,12:40 PM,10:03 PM,TRUE
29-Mar-18,01:02 PM,10:25 PM,TRUE
28-Mar-18,12:50 PM,10:11 PM,TRUE
27-Mar-18,11:48 AM,10:08 PM,TRUE
26-Mar-18,12:33 PM,01:52 AM,TRUE
25-Mar-18,,,FALSE
24-Mar-18,,,FALSE
23-Mar-18,,,FALSE
22-Mar-18,12:57 PM,02:01 AM,TRUE
21-Mar-18,12:50 PM,10:19 PM,TRUE
20-Mar-18,12:38 PM,02:07 AM,TRUE
19-Mar-18,12:55 PM,10:08 PM,TRUE
18-Mar-18,,,FALSE
17-Mar-18,,,FALSE
16-Mar-18,12:58 PM,10:05 PM,TRUE
15-Mar-18,12:44 PM,10:18 PM,TRUE
14-Mar-18,12:58 PM,10:16 PM,TRUE
13-Mar-18,01:04 PM,10:20 PM,TRUE
12-Mar-18,12:59 PM,10:16 PM,TRUE
11-Mar-18,,,FALSE
10-Mar-18,,,FALSE
09-Mar-18,01:06 PM,10:08 PM,TRUE
08-Mar-18,12:42 PM,10:11 PM,TRUE
07-Mar-18,12:58 PM,05:34 PM,TRUE
06-Mar-18,01:04 PM,10:20 PM,TRUE
05-Mar-18,12:46 PM,10:14 PM,TRUE
04-Mar-18,,,FALSE
03-Mar-18,,,FALSE
02-Mar-18,01:08 PM,10:07 PM,TRUE
01-Mar-18,12:49 PM,10:09 PM,TRUE
28-Feb-18,01:02 PM,10:40 PM,TRUE
27-Feb-18,01:01 PM,10:25 PM,TRUE
26-Feb-18,12:39 PM,10:11 PM,TRUE
25-Feb-18,,,FALSE
24-Feb-18,,,FALSE
23-Feb-18,12:56 PM,10:06 PM,TRUE
22-Feb-18,10:39 AM,10:14 PM,TRUE
21-Feb-18,12:56 PM,10:27 PM,TRUE
20-Feb-18,12:56 PM,10:06 PM,TRUE
19-Feb-18,12:52 PM,10:17 PM,TRUE
18-Feb-18,,,FALSE
17-Feb-18,,,FALSE
16-Feb-18,12:45 PM,10:00 PM,TRUE
15-Feb-18,12:38 PM,10:09 PM,TRUE
14-Feb-18,12:37 PM,10:33 PM,TRUE
13-Feb-18,12:24 PM,10:06 PM,TRUE
12-Feb-18,12:05 PM,10:13 PM,TRUE
11-Feb-18,,,FALSE
10-Feb-18,,,FALSE
09-Feb-18,12:48 PM,10:02 PM,TRUE
08-Feb-18,12:14 PM,10:30 PM,TRUE
07-Feb-18,12:34 PM,10:20 PM,TRUE
06-Feb-18,01:17 PM,10:25 PM,TRUE
05-Feb-18,12:48 PM,10:03 PM,TRUE
04-Feb-18,,,FALSE
03-Feb-18,,,FALSE
02-Feb-18,,,FALSE
01-Feb-18,12:53 PM,07:36 PM,TRUE
31-Jan-18,01:10 PM,10:47 PM,TRUE
30-Jan-18,12:59 PM,10:02 PM,TRUE
29-Jan-18,12:31 PM,10:32 PM,TRUE
28-Jan-18,,,FALSE
27-Jan-18,,,FALSE
26-Jan-18,,,FALSE
25-Jan-18,12:48 PM,10:03 PM,TRUE
24-Jan-18,,,FALSE
23-Jan-18,12:40 PM,10:11 PM,TRUE
22-Jan-18,12:47 PM,10:09 PM,TRUE
21-Jan-18,,,FALSE
20-Jan-18,,,FALSE
19-Jan-18,12:29 PM,10:09 PM,TRUE
18-Jan-18,12:36 PM,10:14 PM,TRUE
17-Jan-18,01:05 PM,10:34 PM,TRUE
16-Jan-18,12:53 PM,10:26 PM,TRUE
15-Jan-18,12:58 PM,10:15 PM,TRUE
14-Jan-18,,,FALSE
13-Jan-18,,,FALSE
12-Jan-18,12:37 PM,02:42 PM,TRUE
11-Jan-18,12:28 PM,10:27 PM,TRUE
10-Jan-18,12:53 PM,10:23 PM,TRUE
09-Jan-18,12:25 PM,10:01 PM,TRUE
08-Jan-18,12:53 PM,10:04 PM,TRUE
07-Jan-18,,,FALSE
06-Jan-18,,,FALSE
05-Jan-18,01:23 PM,10:08 PM,TRUE
04-Jan-18,01:09 PM,10:14 PM,TRUE
03-Jan-18,01:04 PM,10:11 PM,TRUE
02-Jan-18,01:06 PM,10:30 PM,TRUE
01-Jan-18,,,FALSE
31-Dec-17,,,FALSE
30-Dec-17,,,FALSE
29-Dec-17,12:41 PM,06:57 PM,TRUE
28-Dec-17,12:54 PM,10:33 PM,TRUE
27-Dec-17,12:50 PM,10:18 PM,TRUE
26-Dec-17,12:50 PM,10:14 PM,TRUE
25-Dec-17,,,FALSE
24-Dec-17,,,FALSE
23-Dec-17,,,FALSE
22-Dec-17,12:09 PM,10:19 PM,TRUE
21-Dec-17,12:51 PM,10:04 PM,TRUE
20-Dec-17,12:46 PM,10:19 PM,TRUE
19-Dec-17,12:22 PM,10:28 PM,TRUE
18-Dec-17,12:29 PM,10:29 PM,TRUE
17-Dec-17,,,FALSE
16-Dec-17,,,FALSE
15-Dec-17,01:00 PM,10:16 PM,TRUE
14-Dec-17,12:27 PM,09:51 PM,TRUE
13-Dec-17,12:27 PM,10:05 PM,TRUE
12-Dec-17,01:02 PM,09:59 PM,TRUE
11-Dec-17,01:10 PM,10:01 PM,TRUE
10-Dec-17,,,FALSE
09-Dec-17,,,FALSE
08-Dec-17,12:31 PM,09:54 PM,TRUE
07-Dec-17,12:23 PM,09:50 PM,TRUE
06-Dec-17,12:41 PM,10:03 PM,TRUE
05-Dec-17,12:35 PM,09:48 PM,TRUE
04-Dec-17,12:18 PM,10:11 PM,TRUE
03-Dec-17,,,FALSE
02-Dec-17,,,FALSE
01-Dec-17,12:41 PM,09:59 PM,TRUE
30-Nov-17,11:04 AM,09:55 PM,TRUE
29-Nov-17,12:15 PM,10:08 PM,TRUE
28-Nov-17,10:57 AM,10:26 PM,TRUE
27-Nov-17,12:14 PM,10:43 PM,TRUE
26-Nov-17,,,FALSE
25-Nov-17,,,FALSE
24-Nov-17,12:43 PM,09:55 PM,TRUE
