"","date","main_activity","count","out.of.house.time","out.of.house.lat","out.of.house.long","In.Time","Last.Out.Time","Was.at.Work","in.time.dmy.hm","out.time.dmy.hm","post.midnight","hours.worked","policy.in.time","policy.in.time.dmy.hm","policy.out.time.dmy.hm","diff.in.time","diff.out.time","travelling.time"
"21",2017-12-27,"ON_FOOT",1,2017-12-27 12:42:33,12.9779213,77.7340237,"12:50 PM","10:18 PM",TRUE,2017-12-27 12:50:00,2017-12-27 22:18:00,FALSE,9.46666666666667,"1:15 PM",2017-12-27 13:15:00,2017-12-27 22:15:00,25,3,446.451999902725
"22",2017-12-28,"ON_FOOT",4,2017-12-28 12:38:42,12.978075,77.7340237,"12:54 PM","10:33 PM",TRUE,2017-12-28 12:54:00,2017-12-28 22:33:00,FALSE,9.65,"1:15 PM",2017-12-28 13:15:00,2017-12-28 22:15:00,21,18,917.226999998093
"23",2017-12-29,"ON_FOOT",5,2017-12-29 12:19:30,12.9781107,77.7340237,"12:41 PM","06:57 PM",TRUE,2017-12-29 12:41:00,2017-12-29 18:57:00,FALSE,6.26666666666667,"1:15 PM",2017-12-29 13:15:00,2017-12-29 22:15:00,34,-198,1289.22300004959
"24",2018-01-02,"ON_FOOT",9,2018-01-02 12:34:43,12.9780327,77.7340167,"01:06 PM","10:30 PM",TRUE,2018-01-02 13:06:00,2018-01-02 22:30:00,FALSE,9.4,"1:15 PM",2018-01-02 13:15:00,2018-01-02 22:15:00,9,15,1876.5490000248
"25",2018-01-03,"ON_FOOT",6,2018-01-03 12:44:22,12.9780427,77.7340167,"01:04 PM","10:11 PM",TRUE,2018-01-03 13:04:00,2018-01-03 22:11:00,FALSE,9.11666666666667,"1:15 PM",2018-01-03 13:15:00,2018-01-03 22:15:00,11,-4,1177.15799999237
"26",2018-01-04,"ON_FOOT",7,2018-01-04 12:27:50,12.978052,77.7338777,"01:09 PM","10:14 PM",TRUE,2018-01-04 13:09:00,2018-01-04 22:14:00,FALSE,9.08333333333333,"1:15 PM",2018-01-04 13:15:00,2018-01-04 22:15:00,6,-1,2469.58800005913
"27",2018-01-05,"ON_FOOT",8,2018-01-05 12:46:04,12.9770222,77.733958,"01:23 PM","10:08 PM",TRUE,2018-01-05 13:23:00,2018-01-05 22:08:00,FALSE,8.75,"1:15 PM",2018-01-05 13:15:00,2018-01-05 22:15:00,-8,-7,2215.48600006104
"28",2018-01-08,"ON_FOOT",8,2018-01-08 12:28:41,12.9780676,77.733958,"12:53 PM","10:04 PM",TRUE,2018-01-08 12:53:00,2018-01-08 22:04:00,FALSE,9.18333333333333,"1:15 PM",2018-01-08 13:15:00,2018-01-08 22:15:00,22,-11,1458.60400009155
"29",2018-01-09,"ON_FOOT",8,2018-01-09 12:01:52,12.9781097,77.7337865,"12:25 PM","10:01 PM",TRUE,2018-01-09 12:25:00,2018-01-09 22:01:00,FALSE,9.6,"1:15 PM",2018-01-09 13:15:00,2018-01-09 22:15:00,50,-14,1387.02099990845
"30",2018-01-10,"ON_FOOT",2,2018-01-10 12:47:51,12.9780385,77.7339427,"12:53 PM","10:23 PM",TRUE,2018-01-10 12:53:00,2018-01-10 22:23:00,FALSE,9.5,"1:15 PM",2018-01-10 13:15:00,2018-01-10 22:15:00,22,8,308.578000068665
"31",2018-01-12,"ON_FOOT",6,2018-01-12 12:12:22,12.9776654,77.7336318,"12:37 PM","02:42 PM",TRUE,2018-01-12 12:37:00,2018-01-12 14:42:00,FALSE,2.08333333333333,"1:15 PM",2018-01-12 13:15:00,2018-01-12 22:15:00,38,-453,1477.8220000267
"32",2018-01-15,"ON_FOOT",7,2018-01-15 12:37:43,12.9780822,77.7342487,"12:58 PM","10:15 PM",TRUE,2018-01-15 12:58:00,2018-01-15 22:15:00,FALSE,9.28333333333333,"1:15 PM",2018-01-15 13:15:00,2018-01-15 22:15:00,17,0,1216.49399995804
"33",2018-01-16,"IN_VEHICLE",2,2018-01-16 12:42:14,12.9780833,77.7339427,"12:53 PM","10:26 PM",TRUE,2018-01-16 12:53:00,2018-01-16 22:26:00,FALSE,9.55,"1:15 PM",2018-01-16 13:15:00,2018-01-16 22:15:00,22,11,645.336999893188
"34",2018-01-17,"ON_FOOT",6,2018-01-17 12:45:13,12.9781131,77.7339068,"01:05 PM","10:34 PM",TRUE,2018-01-17 13:05:00,2018-01-17 22:34:00,FALSE,9.48333333333333,"1:15 PM",2018-01-17 13:15:00,2018-01-17 22:15:00,10,19,1186.21700000763
"35",2018-01-18,"ON_FOOT",4,2018-01-18 12:18:50,12.9780721,77.7339427,"12:36 PM","10:14 PM",TRUE,2018-01-18 12:36:00,2018-01-18 22:14:00,FALSE,9.63333333333333,"1:15 PM",2018-01-18 13:15:00,2018-01-18 22:15:00,39,-1,1029.6210000515
"36",2018-01-19,"ON_FOOT",6,2018-01-19 12:08:54,12.977023,77.7339427,"12:29 PM","10:09 PM",TRUE,2018-01-19 12:29:00,2018-01-19 22:09:00,FALSE,9.66666666666667,"1:15 PM",2018-01-19 13:15:00,2018-01-19 22:15:00,46,-6,1205.84899997711
"37",2018-01-22,"ON_FOOT",7,2018-01-22 12:07:25,12.9773802,77.7346569,"12:47 PM","10:09 PM",TRUE,2018-01-22 12:47:00,2018-01-22 22:09:00,FALSE,9.36666666666667,"1:15 PM",2018-01-22 13:15:00,2018-01-22 22:15:00,28,-6,2374.2460000515
"38",2018-01-25,"IN_VEHICLE",4,2018-01-25 12:38:45,12.9778497,77.7337624,"12:48 PM","10:03 PM",TRUE,2018-01-25 12:48:00,2018-01-25 22:03:00,FALSE,9.25,"1:15 PM",2018-01-25 13:15:00,2018-01-25 22:15:00,27,-12,554.68799996376
"39",2018-01-29,"ON_FOOT",1,2018-01-29 12:24:13,12.9781232,77.7339416,"12:31 PM","10:32 PM",TRUE,2018-01-29 12:31:00,2018-01-29 22:32:00,FALSE,10.0166666666667,"1:15 PM",2018-01-29 13:15:00,2018-01-29 22:15:00,44,17,406.382999897003
"40",2018-01-30,"ON_FOOT",7,2018-01-30 12:34:22,12.9774148,77.7335425,"12:59 PM","10:02 PM",TRUE,2018-01-30 12:59:00,2018-01-30 22:02:00,FALSE,9.05,"1:15 PM",2018-01-30 13:15:00,2018-01-30 22:15:00,16,-13,1477.07399988174
"41",2018-01-31,"ON_FOOT",3,2018-01-31 12:56:59,12.9780671,77.73386,"01:10 PM","10:47 PM",TRUE,2018-01-31 13:10:00,2018-01-31 22:47:00,FALSE,9.61666666666667,"1:15 PM",2018-01-31 13:15:00,2018-01-31 22:15:00,5,32,780.963000059128
"42",2018-02-01,"ON_FOOT",8,2018-02-01 12:27:58,12.9773788,77.7335201,"12:53 PM","07:36 PM",TRUE,2018-02-01 12:53:00,2018-02-01 19:36:00,FALSE,6.71666666666667,"1:15 PM",2018-02-01 13:15:00,2018-02-01 22:15:00,22,-159,1501.25900006294
"43",2018-02-05,"ON_FOOT",8,2018-02-05 12:24:09,12.9780815,77.7337051,"12:48 PM","10:03 PM",TRUE,2018-02-05 12:48:00,2018-02-05 22:03:00,FALSE,9.25,"1:15 PM",2018-02-05 13:15:00,2018-02-05 22:15:00,27,-12,1430.16199994087
"44",2018-02-06,"ON_FOOT",1,2018-02-06 13:07:30,12.9775685,77.7337277,"01:17 PM","10:25 PM",TRUE,2018-02-06 13:17:00,2018-02-06 22:25:00,FALSE,9.13333333333333,"1:15 PM",2018-02-06 13:15:00,2018-02-06 22:15:00,-2,10,569.020999908447
"45",2018-02-07,"ON_FOOT",8,2018-02-07 12:15:33,12.9780327,77.7337138,"12:34 PM","10:20 PM",TRUE,2018-02-07 12:34:00,2018-02-07 22:20:00,FALSE,9.76666666666667,"1:15 PM",2018-02-07 13:15:00,2018-02-07 22:15:00,41,5,1107
"46",2018-02-08,"ON_FOOT",6,2018-02-08 11:57:10,12.9771512,77.733378,"12:14 PM","10:30 PM",TRUE,2018-02-08 12:14:00,2018-02-08 22:30:00,FALSE,10.2666666666667,"1:15 PM",2018-02-08 13:15:00,2018-02-08 22:15:00,61,15,1009.375
"47",2018-02-09,"ON_FOOT",8,2018-02-09 12:23:05,12.9771508,77.7334117,"12:48 PM","10:02 PM",TRUE,2018-02-09 12:48:00,2018-02-09 22:02:00,FALSE,9.23333333333333,"1:15 PM",2018-02-09 13:15:00,2018-02-09 22:15:00,27,-13,1494.39400005341
"48",2018-02-12,"ON_FOOT",3,2018-02-12 11:49:04,12.9774067,77.7337304,"12:05 PM","10:13 PM",TRUE,2018-02-12 12:05:00,2018-02-12 22:13:00,FALSE,10.1333333333333,"1:15 PM",2018-02-12 13:15:00,2018-02-12 22:15:00,70,-2,955.444999933243
"49",2018-02-13,"ON_FOOT",2,2018-02-13 12:09:33,12.9771118,77.7334156,"12:24 PM","10:06 PM",TRUE,2018-02-13 12:24:00,2018-02-13 22:06:00,FALSE,9.7,"1:15 PM",2018-02-13 13:15:00,2018-02-13 22:15:00,51,-9,866.21799993515
"50",2018-02-14,"ON_FOOT",2,2018-02-14 12:26:05,12.9771516,77.733442,"12:37 PM","10:33 PM",TRUE,2018-02-14 12:37:00,2018-02-14 22:33:00,FALSE,9.93333333333333,"1:15 PM",2018-02-14 13:15:00,2018-02-14 22:15:00,38,18,654.828000068665
"51",2018-02-15,"ON_FOOT",1,2018-02-15 12:26:54,12.9771512,77.7337197,"12:38 PM","10:09 PM",TRUE,2018-02-15 12:38:00,2018-02-15 22:09:00,FALSE,9.51666666666667,"1:15 PM",2018-02-15 13:15:00,2018-02-15 22:15:00,37,-6,665.414000034332
"52",2018-02-16,"ON_FOOT",7,2018-02-16 12:21:59,12.9771512,77.7337854,"12:45 PM","10:00 PM",TRUE,2018-02-16 12:45:00,2018-02-16 22:00:00,FALSE,9.25,"1:15 PM",2018-02-16 13:15:00,2018-02-16 22:15:00,30,-15,1380.80100011826
"53",2018-02-19,"ON_FOOT",5,2018-02-19 12:33:26,12.9771512,77.7334952,"12:52 PM","10:17 PM",TRUE,2018-02-19 12:52:00,2018-02-19 22:17:00,FALSE,9.41666666666667,"1:15 PM",2018-02-19 13:15:00,2018-02-19 22:15:00,23,2,1113.89599990845
"54",2018-02-20,"IN_VEHICLE",4,2018-02-20 12:40:39,12.9780983,77.7338565,"12:56 PM","10:06 PM",TRUE,2018-02-20 12:56:00,2018-02-20 22:06:00,FALSE,9.16666666666667,"1:15 PM",2018-02-20 13:15:00,2018-02-20 22:15:00,19,-9,920.292999982834
"55",2018-02-21,"ON_FOOT",4,2018-02-21 12:37:07,12.9780684,77.7338653,"12:56 PM","10:27 PM",TRUE,2018-02-21 12:56:00,2018-02-21 22:27:00,FALSE,9.51666666666667,"1:15 PM",2018-02-21 13:15:00,2018-02-21 22:15:00,19,12,1132.50500011444
"56",2018-02-23,"ON_FOOT",6,2018-02-23 12:36:05,12.9780022,77.7337981,"12:56 PM","10:06 PM",TRUE,2018-02-23 12:56:00,2018-02-23 22:06:00,FALSE,9.16666666666667,"1:15 PM",2018-02-23 13:15:00,2018-02-23 22:15:00,19,-9,1194.46300005913
"57",2018-02-27,"ON_FOOT",8,2018-02-27 12:35:52,12.9777499,77.7337495,"01:01 PM","10:25 PM",TRUE,2018-02-27 13:01:00,2018-02-27 22:25:00,FALSE,9.4,"1:15 PM",2018-02-27 13:15:00,2018-02-27 22:15:00,14,10,1507.44000005722
"58",2018-02-28,"ON_FOOT",7,2018-02-28 12:41:37,12.9780797,77.7338436,"01:02 PM","10:40 PM",TRUE,2018-02-28 13:02:00,2018-02-28 22:40:00,FALSE,9.63333333333333,"1:15 PM",2018-02-28 13:15:00,2018-02-28 22:15:00,13,25,1222.11100006104
"59",2018-03-01,"ON_FOOT",4,2018-03-01 12:32:04,12.9780816,77.7338546,"12:49 PM","10:09 PM",TRUE,2018-03-01 12:49:00,2018-03-01 22:09:00,FALSE,9.33333333333333,"1:15 PM",2018-03-01 13:15:00,2018-03-01 22:15:00,26,-6,1015.64700007439
"60",2018-03-02,"ON_FOOT",8,2018-03-02 12:41:52,12.9780677,77.7346569,"01:08 PM","10:07 PM",TRUE,2018-03-02 13:08:00,2018-03-02 22:07:00,FALSE,8.98333333333333,"1:15 PM",2018-03-02 13:15:00,2018-03-02 22:15:00,7,-8,1567.02099990845
"61",2018-03-05,"IN_VEHICLE",2,2018-03-05 12:33:53,12.9770268,77.7332703,"12:46 PM","10:14 PM",TRUE,2018-03-05 12:46:00,2018-03-05 22:14:00,FALSE,9.46666666666667,"1:15 PM",2018-03-05 13:15:00,2018-03-05 22:15:00,29,-1,726.427000045776
"62",2018-03-06,"IN_VEHICLE",7,2018-03-06 12:44:11,12.9770302,77.7335839,"01:04 PM","10:20 PM",TRUE,2018-03-06 13:04:00,2018-03-06 22:20:00,FALSE,9.26666666666667,"1:15 PM",2018-03-06 13:15:00,2018-03-06 22:15:00,11,5,1188.08999991417
"63",2018-03-07,"ON_FOOT",6,2018-03-07 12:40:17,12.9780485,77.733756,"12:58 PM","05:34 PM",TRUE,2018-03-07 12:58:00,2018-03-07 17:34:00,FALSE,4.6,"1:15 PM",2018-03-07 13:15:00,2018-03-07 22:15:00,17,-281,1062.66599988937
"64",2018-03-08,"ON_FOOT",5,2018-03-08 12:26:52,12.9769875,77.7335839,"12:42 PM","10:11 PM",TRUE,2018-03-08 12:42:00,2018-03-08 22:11:00,FALSE,9.48333333333333,"1:15 PM",2018-03-08 13:15:00,2018-03-08 22:15:00,33,-4,907.806999921799
"65",2018-03-09,"IN_VEHICLE",7,2018-03-09 12:56:26,12.9779761,77.7339446,"01:06 PM","10:08 PM",TRUE,2018-03-09 13:06:00,2018-03-09 22:08:00,FALSE,9.03333333333333,"1:15 PM",2018-03-09 13:15:00,2018-03-09 22:15:00,9,-7,573.668999910355
"66",2018-03-12,"ON_FOOT",3,2018-03-12 12:42:52,12.9780663,77.7338569,"12:59 PM","10:16 PM",TRUE,2018-03-12 12:59:00,2018-03-12 22:16:00,FALSE,9.28333333333333,"1:15 PM",2018-03-12 13:15:00,2018-03-12 22:15:00,16,1,967.381999969482
"67",2018-03-13,"ON_FOOT",12,2018-03-13 12:42:53,12.9780913,77.7338863,"01:04 PM","10:20 PM",TRUE,2018-03-13 13:04:00,2018-03-13 22:20:00,FALSE,9.26666666666667,"1:15 PM",2018-03-13 13:15:00,2018-03-13 22:15:00,11,5,1266.81100010872
"68",2018-03-14,"ON_FOOT",4,2018-03-14 12:44:05,12.9780744,77.7338121,"12:58 PM","10:16 PM",TRUE,2018-03-14 12:58:00,2018-03-14 22:16:00,FALSE,9.3,"1:15 PM",2018-03-14 13:15:00,2018-03-14 22:15:00,17,1,834.585999965668
"69",2018-03-15,"IN_VEHICLE",5,2018-03-15 12:29:57,12.9770275,77.7331645,"12:44 PM","10:18 PM",TRUE,2018-03-15 12:44:00,2018-03-15 22:18:00,FALSE,9.56666666666667,"1:15 PM",2018-03-15 13:15:00,2018-03-15 22:15:00,31,3,842.568000078201
"70",2018-03-16,"ON_FOOT",3,2018-03-16 12:42:29,12.9770275,77.7333712,"12:58 PM","10:05 PM",TRUE,2018-03-16 12:58:00,2018-03-16 22:05:00,FALSE,9.11666666666667,"1:15 PM",2018-03-16 13:15:00,2018-03-16 22:15:00,17,-10,930.125999927521
"71",2018-03-19,"IN_VEHICLE",5,2018-03-19 12:41:48,12.9780866,77.7338848,"12:55 PM","10:08 PM",TRUE,2018-03-19 12:55:00,2018-03-19 22:08:00,FALSE,9.21666666666667,"1:15 PM",2018-03-19 13:15:00,2018-03-19 22:15:00,20,-7,791.59299993515
"72",2018-03-20,"ON_FOOT",7,2018-03-20 12:15:31,12.9773973,77.733541,"12:38 PM","02:07 AM",TRUE,2018-03-20 12:38:00,2018-03-21 02:07:00,TRUE,13.4833333333333,"1:15 PM",2018-03-20 13:15:00,2018-03-20 22:15:00,37,232,1348.20199990273
"73",2018-03-21,"IN_VEHICLE",4,2018-03-21 12:36:34,12.9770306,77.7335476,"12:50 PM","10:19 PM",TRUE,2018-03-21 12:50:00,2018-03-21 22:19:00,FALSE,9.48333333333333,"1:15 PM",2018-03-21 13:15:00,2018-03-21 22:15:00,25,4,805.240000009537
"74",2018-03-22,"ON_FOOT",3,2018-03-22 12:39:03,12.9770466,77.7334033,"12:57 PM","02:01 AM",TRUE,2018-03-22 12:57:00,2018-03-23 02:01:00,TRUE,13.0666666666667,"1:15 PM",2018-03-22 13:15:00,2018-03-22 22:15:00,18,226,1076.45799994469
"75",2018-03-26,"ON_FOOT",3,2018-03-26 12:22:24,12.9769932,77.7335839,"12:33 PM","01:52 AM",TRUE,2018-03-26 12:33:00,2018-03-27 01:52:00,TRUE,13.3166666666667,"1:15 PM",2018-03-26 13:15:00,2018-03-26 22:15:00,42,217,635.881000041962
